x,y,z
-10.0,-10.0,-1.301085777793277
-10.0,-9.8,-1.6963156577691365
-10.0,-9.6,-2.0608107034320065
-10.0,-9.4,-2.3657593589219936
-10.0,-9.2,-2.5870789273621417
-10.0,-9.0,-2.707329376705612
-10.0,-8.8,-2.7170992657172404
-10.0,-8.6,-2.6157536532030545
-10.0,-8.4,-2.41148455557224
-10.0,-8.2,-2.12065994296558
-10.0,-8.0,-1.7665230079826097
-10.0,-7.8,-1.3773450736332271
-10.0,-7.6,-0.9841789253851291
-10.0,-7.4,-0.6183911057110636
-10.0,-7.2,-0.30916927496711366
-10.0,-7.0,-0.08120272386434256
-10.0,-6.8,0.04727963722994273
-10.0,-6.6,0.06595789492459218
-10.0,-6.4,-0.026758763421636425
-10.0,-6.2,-0.22360563086293023
-10.0,-6.0,-0.5090397932289972
-10.0,-5.8,-0.8604752947783838
-10.0,-5.6,-1.2500780008911436
-10.0,-5.4,-1.6469775234964399
-10.0,-5.2,-2.019720431753151
-10.0,-5.0,-2.3387697960239433
-10.0,-4.8,-2.57885243116525
-10.0,-4.6,-2.7209673081994583
-10.0,-4.4,-2.7538955297361123
-10.0,-4.2,-2.6750918742842003
-10.0,-4.0,-2.4908870601346753
-10.0,-3.8,-2.2159846552894327
-10.0,-3.6,-1.8722926130421988
-10.0,-3.4,-1.48718228884328
-10.0,-3.2,-1.091313291047196
-10.0,-3.0,-0.7161970204928964
-10.0,-2.8,-0.39169251976484787
-10.0,-2.6,-0.1436336322034055
-10.0,-2.4,0.008223964201661708
-10.0,-2.2,0.0517727027456144
-10.0,-2.0,-0.016484706828710664
-10.0,-1.8,-0.19115735536497483
-10.0,-1.6,-0.4583945395304224
-10.0,-1.4,-0.7969864507113856
-10.0,-1.2,-1.180049677926455
-10.0,-1.0,-1.5771635810654188
-10.0,-0.8,-1.9567877609598427
-10.0,-0.6,-2.288768514563755
-10.0,-0.4,-2.5467350920464207
-10.0,-0.2,-2.7101953298304275
-10.0,0.0,-2.766164123626784
-10.0,0.2,-2.7101953298304275
-10.0,0.4,-2.5467350920464207
-10.0,0.6,-2.288768514563755
-10.0,0.8,-1.9567877609598427
-10.0,1.0,-1.5771635810654188
-10.0,1.2,-1.180049677926455
